longitude,latitude,Station_Code,Total_Score,Station_Name_lower
84.973273,19.3589572,CAP,813.5,chatrapur
78.472545,15.468024,NDL,711.8,nandyal
77.865727,15.396729,DHNE,601.1,dhone
82.569869,25.13435,MZP,684.22,mirzapur
82.089337,25.221545,MJA,823.14,meja road
73.045654,19.268544,BIRD,429.2,bhiwandi road
77.5137793,17.9116836,BIDR,717.62,bidar
76.556049,18.429166,LUR,682.05,latur
73.917896,26.728077,MTD,823.14,merta road jn
70.64304,25.743851,GDD,818.57,gadra road
83.133741,26.750013,MHH,681.25,maghar
83.055073,26.77453,KLD,684.67,khalilabad
82.227648,27.039058,MUR,528.14,mankapur jn
83.246984,25.605166,MHO,617.53,mahpur
83.0141142,25.3341176,BCY,687.65,varanasi city
80.347318,28.284349,MLN,662.26,mailani
80.150951,28.514911,PP,621.2,puranpur
79.432729,28.434064,DOX,891.41,dohna
79.655274,28.574785,BJV,761.59,bijauria
76.678033,12.4247,S,556.89,shrirangapatna
77.203824,12.659673,CPT,608.05,channapatna
77.283451,12.720096,RMGM,664.95,ramanagaram
77.48431,12.918047,KGI,711.74,kengeri
75.610219,15.672447,MLP,834.61,mallapur
78.103238,18.679165,NZB,765.61,nizamabad
79.197947,21.21172,KP,800.6,kamptee
79.647523,21.238512,BRD,818.57,bhandara road
82.7918337,27.4957951,BNY,740.27,barhni
89.534048,26.523279,APDJ,821.52,alipur duar jn
88.413663,26.723204,SGUJ,759.96,siliguri jn
76.38578,15.286807,HPT,810.3,hospet jn
76.921995,15.145135,BAY,845.25,bellary jn
79.448848,18.878745,MCI,827.82,manchiryal
77.938506,18.86512,BSX,793.26,basar
77.642682,19.0418,UMRI,746.38,umri
86.822911,21.39628,KHF,858.76,khantapara
87.0637831,21.7029241,BTS,793.26,basta
87.389853,22.362509,JPR,931.75,jakpur
87.443268,22.369694,MPD,617.53,madpur
87.655069,22.365254,HAUR,746.47,haur
87.7430237079,22.393102763,PKU,665.45,panskura
82.713013,22.337584,KRBA,791.88,korba
79.849079,25.306914,MBA,691.35,mahoba
90.9639649,26.5028473,BPRD,783.19,barpeta road
77.7577863,20.9300829,AMI,821.86,amravati
81.18104,26.935335,BBK,716.94,barabanki jn
80.9613606,26.8686134,BNZ,662.24,badshahnagar
78.451748,25.237832,BAB,607.38,babina
76.1986787,21.3343976,BAU,621.2,burhanpur
74.659526,20.307616,NGN,899.9,nandgaon
76.934533,11.299729,MTP,747.16,metupalaiyam
80.801869,25.917489,FTP,677.73,fatehpur
74.3149711,26.1089078,BER,794.42,beawar
82.539073,26.429818,ABP,748.96,akbarpur
82.8800248,25.453616,BTP,692.37,babatpur
82.946972,25.355419,SOP,595.95,shiupur
77.92157,9.357545,SRT,682.05,satur
79.999792,17.597561,MABD,717.73,mahbubabad
79.154734,17.725115,ZN,622.58,jangaon
83.160614,26.038607,AMH,771.79,azamgarh
72.914294,20.946851,NVS,669.73,navsari
72.918698,20.461236,UVD,673.67,udvada
76.297843,23.425074,SFY,883.84,shajapur
77.638246,25.438444,SVPI,595.95,shivpuri
78.272811,26.413118,MLAR,834.61,malanpur
77.685113,27.491013,MRT,612.67,mathura cant
80.328444,26.456233,CPA,545.42,kanpur anwrganj
75.939411,24.644606,RMA,564.35,ramganj mandi
75.786436,26.855947,DPA,922.5,durgapura
77.9821558,20.8045192,CND,813.5,chandur
77.4807316095,22.4703575471,BPF,793.81,banapura
78.331015,25.881197,DBA,674.41,dabra
77.996613,27.193811,RKM,589.8,raja ki mandi
77.445999,27.788551,KSV,485.41,kosi kalan
77.307348,28.411473,FDB,554.59,faridabad
77.1299115857,28.6802273287,SSB,497.63,shakurbasti
76.930886,28.700863,BGZ,718.58,bahadurgarh
75.22772,30.062746,MAUR,586.11,maur
83.494207,20.688591,BLGR,583.19,balangir
83.9603252667,21.4830514376,SBP,738.58,sambalpur
87.307379,22.42498,MDN,405.44,midnapore
78.194338,22.693813,SGP,887.18,sohagpur
77.27485,15.617035,AD,520.59,adoni
77.625823,15.149208,GY,615.12,gooty jn
78.829184,14.45169,HX,649.05,cuddapah
79.611386,13.179217,TRT,675.0,tiruttani
82.310962,25.549911,JNH,746.17,janghai jn
77.62227,29.832554,NGL,675.61,nagal
77.96680748,27.06906445,BHA,686.83,bhandai
78.386691,27.147415,FZD,883.14,firozabad
78.331128,24.051525,KYE,381.53,khurai
80.5779045111,24.0995008758,UDR,641.02,amdara
77.342232,28.151841,PWL,680.03,palwal
82.867173,26.089746,KRND,522.84,khorason road
82.6313,26.281482,MLPR,586.11,malipur
80.860312,26.84708,AMG,818.3,alamnagar
78.501588,29.305446,DPR,856.48,dhampur
82.666999,25.734125,JOP,654.22,jaunpur city
79.3122585,19.9400612,CAF,553.83,chanda fort
78.339549,12.746834,KPN,690.32,kuppam
84.634804,24.819694,RFJ,549.7,rafiganj
77.81904,28.206407,KRJ,381.53,khurja jn
77.01075,29.130776,GNU,541.22,ganaur
75.120256,32.528358,SMBX,711.29,samba
85.305488,25.50144,FUT,715.62,fatuha jn
88.723026,26.51816,JPG,831.87,jalpaiguri
88.994973,26.573532,DQG,717.12,dhupguri
86.4115380682,25.2578934114,DRH,736.63,dharhara
88.4185,22.888555,NH,583.19,naihati jn
85.414697,25.033069,RGD,815.67,rajgir
85.512918,25.160225,POE,658.57,pawapuri road
76.811256,27.576612,RAH,837.1,ramgarh
73.313909,28.043638,LGH,842.79,lalgarh jn
76.607541,27.240827,RHG,837.1,rajgarh
73.652289,29.342839,JES,576.44,jaitsar
76.005784,24.832609,DARA,674.41,dara
75.865501,25.145188,DKNT,596.25,dakaniya talav
70.928239,26.91655,JSM,852.02,jaisalmer
73.474848,27.556203,NOK,814.23,nokha
73.31039,25.347582,RANI,842.35,rani
87.263262,26.402263,JBN,462.42,jogbani
87.446912,26.114921,ARQ,369.68,arariya court
87.519124,25.790678,PRNA,800.35,purnia jn
72.843465,19.019731,DDR,864.79,dadar
92.786795,24.830338,SCL,669.78,silchar
76.377993,10.770046,OTP,346.76,ottappalam
76.363817,9.386059,AMPA,526.12,ambalapuzha
84.530639,26.94163,CAI,608.05,chanpatia
83.841719,26.121418,BLTR,556.11,belthara road
77.056966,28.686261,NNO,542.93,nangloi
75.034944,29.539153,SSA,751.12,sirsa
79.913105,13.115764,TRL,682.75,tiruvallur
75.880597,10.97954,TA,761.31,tanur
75.693924,11.446139,QLD,561.67,quilandi
75.195107,12.092248,PAY,670.69,payyanur
75.085248,12.320268,KZE,762.42,kanhangad
